series_code,match_code,team,pid,name,notout,runs,ballfaced,fours,sixes,overs,maiden_overs,runs_given,wickets_taken
2664,19856,Vidarbha,10247,Sanjay Ramaswamy,0,29,42,4,0,0.0,0,0,0
2664,19856,Vidarbha,10885,Akshay Karnewar,0,7,30,0,0,3.0,0,23,0
2664,19856,Vidarbha,10887,Rajneesh Gurbani,0,4,16,0,0,5.0,0,24,1
2664,19856,Vidarbha,12096,Yash Thakur,0,0,1,0,0,5.0,1,20,0
2749,20920,Vidarbha,1596,Faiz Fazal,0,6,9,1,0,10.0,0,41,2
2749,20920,Vidarbha,1858,Umesh Yadav,0,0,6,0,0,9.0,1,70,1
2749,20920,Vidarbha,2215,Ganesh Satish,0,60,93,3,2,0.0,0,0,0
2749,20920,Vidarbha,6286,Shrikant Wagh,0,33,66,2,0,10.0,0,69,3
2749,20920,Vidarbha,8273,Wankhade,0,5,10,0,0,0.0,0,0,0
2749,20920,Vidarbha,8949,Akshay Wakhare,0,2,5,0,0,10.0,0,45,1
2749,20920,Vidarbha,10247,Sanjay Ramaswamy,0,10,20,1,0,0.0,0,0,0
2749,20920,Vidarbha,10885,Akshay Karnewar,0,6,14,0,0,3.0,0,14,0
2749,20920,Vidarbha,10887,Rajneesh Gurbani,0,0,6,0,0,8.0,1,38,0
2749,20920,Vidarbha,10888,Akshay Wadkar,0,3,17,0,0,0.0,0,0,0
2749,20920,Vidarbha,13235,Atharva taide,0,0,1,0,0,0.0,0,0,0
2749,20977,Vidarbha,499,W Jaffer,0,9,12,0,0,0.0,0,0,0
2749,20977,Vidarbha,1596,Faiz Fazal,0,91,97,7,4,0.0,0,0,0
2749,20977,Vidarbha,1858,Umesh Yadav,0,16,9,1,1,8.0,0,72,1
2749,20977,Vidarbha,2215,Ganesh Satish,0,12,13,1,0,0.0,0,0,0
2749,20977,Vidarbha,8273,Wankhade,0,0,0,0,0,0.0,0,0,0
2749,20977,Vidarbha,8949,Akshay Wakhare,1,0,0,0,0,10.0,0,60,2
2749,20977,Vidarbha,9257,Ravi Jangid,0,3,6,0,0,10.0,1,47,1
2749,20977,Vidarbha,10214,Jitesh Sharma,0,10,15,1,0,0.0,0,0,0
2749,20977,Vidarbha,10887,Rajneesh Gurbani,0,3,3,0,0,7.5,0,45,1
2749,20977,Vidarbha,13230,Aditya Thakare,1,0,0,0,0,8.0,1,49,1
2749,20977,Vidarbha,13235,Atharva taide,0,148,145,10,4,4.0,0,23,0
2749,21023,Vidarbha,2215,Ganesh Satish,0,50,68,4,1,0.0,0,0,0
2749,21023,Vidarbha,6286,Shrikant Wagh,0,1,5,0,0,5.0,1,21,0
2749,21023,Vidarbha,8273,Wankhade,0,4,24,0,0,0.0,0,0,0
2749,21023,Vidarbha,8949,Akshay Wakhare,0,0,8,0,0,4.0,0,13,0
2749,21023,Vidarbha,9257,Ravi Jangid,0,4,12,0,0,7.3,0,33,1
2749,21023,Vidarbha,10214,Jitesh Sharma,0,2,10,0,0,0.0,0,0,0
2749,21023,Vidarbha,10247,Sanjay Ramaswamy,0,5,16,1,0,0.0,0,0,0
2749,21023,Vidarbha,10885,Akshay Karnewar,0,6,6,1,0,3.0,0,16,0
2749,21023,Vidarbha,10887,Rajneesh Gurbani,0,16,25,2,0,6.0,0,24,0
2749,21023,Vidarbha,12096,Yash Thakur,0,0,5,0,0,7.0,1,22,3
2749,21023,Vidarbha,13235,Atharva taide,0,32,39,3,1,0.0,0,0,0
2749,21035,Vidarbha,2215,Ganesh Satish,0,2,18,0,0,0.0,0,0,0
2749,21035,Vidarbha,8949,Akshay Wakhare,1,0,0,0,0,10.0,2,25,1
2749,21035,Vidarbha,9255,Akshay Kolhar,0,8,18,1,0,0.0,0,0,0
2749,21035,Vidarbha,10247,Sanjay Ramaswamy,0,7,19,0,0,5.0,0,20,2
2749,21035,Vidarbha,10630,Aditya Sarwate,0,13,18,1,0,10.0,0,41,2
2749,21035,Vidarbha,10887,Rajneesh Gurbani,0,6,16,0,0,9.0,0,39,1
2749,21035,Vidarbha,10888,Akshay Wadkar,0,82,120,4,0,0.0,0,0,0
2749,21035,Vidarbha,12096,Yash Thakur,1,0,0,0,0,7.0,0,36,0
2749,21035,Vidarbha,12655,Rushabh Rathod,0,20,42,0,0,0.0,0,0,0
2749,21035,Vidarbha,12779,Darshan Nalkande,0,53,30,1,5,7.0,2,26,2
2749,21035,Vidarbha,13235,Atharva taide,0,5,15,1,0,2.0,0,13,0
2749,21075,Vidarbha,1596,Faiz Fazal,0,9,18,2,0,3.0,0,17,0
2749,21075,Vidarbha,2215,Ganesh Satish,0,53,65,3,2,0.0,0,0,0
2749,21075,Vidarbha,8949,Akshay Wakhare,1,0,0,0,0,10.0,0,46,0
2749,21075,Vidarbha,9255,Akshay Kolhar,0,41,66,2,3,0.0,0,0,0
2749,21075,Vidarbha,10630,Aditya Sarwate,1,0,0,0,0,10.0,1,27,2
2749,21075,Vidarbha,10887,Rajneesh Gurbani,1,0,0,0,0,10.0,1,43,2
2749,21075,Vidarbha,10888,Akshay Wadkar,0,49,51,5,0,0.0,0,0,0
2749,21075,Vidarbha,12096,Yash Thakur,1,0,0,0,0,8.0,0,38,1
2749,21075,Vidarbha,12655,Rushabh Rathod,1,0,0,0,0,0.0,0,0,0
2749,21075,Vidarbha,12779,Darshan Nalkande,1,0,0,0,0,8.0,1,42,3
2749,21075,Vidarbha,13235,Atharva taide,0,21,24,2,1,1.0,0,7,0
2749,21086,Vidarbha,1596,Faiz Fazal,0,49,78,2,0,0.0,0,0,0
2749,21086,Vidarbha,2215,Ganesh Satish,0,45,58,2,0,0.0,0,0,0
2749,21086,Vidarbha,8949,Akshay Wakhare,0,6,11,1,0,9.0,0,39,3
2749,21086,Vidarbha,10247,Sanjay Ramaswamy,0,3,6,0,0,8.0,0,39,0
2749,21086,Vidarbha,10630,Aditya Sarwate,0,0,2,0,0,10.0,0,43,0
2749,21086,Vidarbha,10888,Akshay Wadkar,0,11,18,1,0,0.0,0,0,0
2749,21086,Vidarbha,11971,Siddesh Wath,0,22,23,3,0,0.0,0,0,0
2749,21086,Vidarbha,12655,Rushabh Rathod,0,21,25,0,1,0.0,0,0,0
2749,21086,Vidarbha,12779,Darshan Nalkande,0,8,6,0,1,10.0,2,37,3
2749,21086,Vidarbha,13230,Aditya Thakare,0,0,4,0,0,6.0,0,22,0
2749,21086,Vidarbha,13235,Atharva taide,0,48,59,3,1,7.0,0,30,2
2902,23561,Vidarbha,499,W Jaffer,0,1,6,0,0,0.0,0,0,0
2902,23561,Vidarbha,1596,Faiz Fazal,0,72,96,6,1,0.0,0,0,0
2902,23561,Vidarbha,2215,Ganesh Satish,0,0,2,0,0,0.0,0,0,0
2902,23561,Vidarbha,6286,Shrikant Wagh,0,15,25,2,0,2.0,0,20,0
2902,23561,Vidarbha,8949,Akshay Wakhare,0,5,15,0,0,10.0,0,29,2
2902,23561,Vidarbha,10214,Jitesh Sharma,0,16,23,1,0,0.0,0,0,0
2902,23561,Vidarbha,10630,Aditya Sarwate,0,4,15,0,0,10.0,1,26,0
2902,23561,Vidarbha,10885,Akshay Karnewar,0,2,4,0,0,10.0,4,13,1
2902,23561,Vidarbha,12096,Yash Thakur,0,3,15,0,0,4.0,0,26,0
2902,23561,Vidarbha,12655,Rushabh Rathod,0,26,46,2,1,3.0,0,13,0
2902,23561,Vidarbha,13914,Atharwa Taide,0,3,12,0,0,7.2,1,26,0
2902,23572,Vidarbha,499,W Jaffer,0,7,9,1,0,0.0,0,0,0
2902,23572,Vidarbha,1596,Faiz Fazal,0,30,43,4,0,0.0,0,0,0
2902,23572,Vidarbha,2215,Ganesh Satish,0,67,81,4,2,0.0,0,0,0
2902,23572,Vidarbha,6286,Shrikant Wagh,0,21,33,1,1,4.4,0,31,0
2902,23572,Vidarbha,8949,Akshay Wakhare,0,1,4,0,0,8.0,0,28,0
2902,23572,Vidarbha,10214,Jitesh Sharma,0,24,31,2,1,0.0,0,0,0
2902,23572,Vidarbha,10630,Aditya Sarwate,0,7,19,0,0,9.0,0,45,1
2902,23572,Vidarbha,10885,Akshay Karnewar,0,2,5,0,0,5.0,0,37,0
2902,23572,Vidarbha,12096,Yash Thakur,0,0,1,0,0,7.0,0,21,2
2902,23572,Vidarbha,12655,Rushabh Rathod,0,6,9,0,1,0.0,0,0,0
2902,23572,Vidarbha,13914,Atharwa Taide,0,6,16,0,0,5.0,1,19,1
2902,23580,Vidarbha,499,W Jaffer,0,32,47,3,0,0.0,0,0,0
2902,23580,Vidarbha,1596,Faiz Fazal,0,38,65,3,1,0.0,0,0,0
2902,23580,Vidarbha,2215,Ganesh Satish,1,0,0,0,0,0.0,0,0,0
2902,23580,Vidarbha,8949,Akshay Wakhare,1,0,0,0,0,7.0,2,15,2
2902,23580,Vidarbha,10214,Jitesh Sharma,0,11,14,0,1,0.0,0,0,0
2902,23580,Vidarbha,10630,Aditya Sarwate,1,0,0,0,0,5.0,0,15,0
2902,23580,Vidarbha,10885,Akshay Karnewar,1,0,0,0,0,4.5,1,10,2
2902,23580,Vidarbha,10888,Akshay Wadkar,1,0,0,0,0,0.0,0,0,0
2902,23580,Vidarbha,12096,Yash Thakur,1,0,0,0,0,5.0,1,16,2
2902,23580,Vidarbha,12655,Rushabh Rathod,1,0,0,0,0,0.0,0,0,0
2902,23580,Vidarbha,12779,Darshan Nalkande,1,0,0,0,0,9.0,3,25,4
2902,23609,Vidarbha,499,W Jaffer,0,5,6,1,0,0.0,0,0,0
2902,23609,Vidarbha,1596,Faiz Fazal,0,0,3,0,0,1.0,0,6,0
2902,23609,Vidarbha,2215,Ganesh Satish,0,12,23,0,1,0.0,0,0,0
2902,23609,Vidarbha,8949,Akshay Wakhare,0,5,8,1,0,10.0,0,24,0
2902,23609,Vidarbha,10247,Sanjay Ramaswamy,0,1,17,0,0,2.0,0,20,0
2902,23609,Vidarbha,10630,Aditya Sarwate,0,23,31,3,1,10.0,1,38,2
2902,23609,Vidarbha,10885,Akshay Karnewar,0,70,65,5,3,10.0,0,53,1
2902,23609,Vidarbha,10888,Akshay Wadkar,0,43,79,3,0,0.0,0,0,0
2902,23609,Vidarbha,12096,Yash Thakur,0,0,5,0,0,9.0,2,46,3
2902,23609,Vidarbha,12655,Rushabh Rathod,0,17,27,2,0,0.0,0,0,0
2902,23609,Vidarbha,12779,Darshan Nalkande,0,4,13,0,0,8.0,3,27,1
2902,23623,Vidarbha,499,W Jaffer,0,17,19,3,0,0.0,0,0,0
2902,23623,Vidarbha,1596,Faiz Fazal,0,0,4,0,0,0.0,0,0,0
2902,23623,Vidarbha,2215,Ganesh Satish,0,3,9,0,0,0.0,0,0,0
2902,23623,Vidarbha,8273,Wankhade,0,0,6,0,0,0.0,0,0,0
2902,23623,Vidarbha,8949,Akshay Wakhare,0,6,9,1,0,10.0,1,44,2
2902,23623,Vidarbha,10214,Jitesh Sharma,0,7,21,0,0,0.0,0,0,0
2902,23623,Vidarbha,10630,Aditya Sarwate,0,2,16,0,0,10.0,0,25,0
2902,23623,Vidarbha,10885,Akshay Karnewar,0,23,53,1,1,10.0,2,38,3
2902,23623,Vidarbha,10888,Akshay Wadkar,0,1,8,0,0,1.0,0,12,0
2902,23623,Vidarbha,12096,Yash Thakur,0,6,7,0,1,10.0,0,41,3
