pid,name,yob,team,iscurrent
9014,Umang Sharma,1998,Uttar Pradesh,1
9015,Prashant Gupta,1998,Uttar Pradesh,1
9017,Karimuttathu Rakesh,1998,Kerala,1
9018,Nirupam Chowdhary,1998,Tripura,1
9019,Bunti Roy,1998,Tripura,1
9024,P Awasthi,1998,Railways,1
9025,Srikar Bharat,1998,Andhra,1
9028,Chirag Gandhi,1998,Gujarat,1
9031,Babul Kumar,1998,BIHAR,1
9033,Dharmendrasinh Jadeja,1998,Saurashtra,1
9038,Rahil Shah,1998,Tamil Nadu,1
9039,Manzoor Dar,1998,Jammu and Kashmir,1
9042,Jagrit Anand,1998,Delhi,1
9043,Varun Sood,1998,Delhi,1
9204,Nitish Rana,1998,Delhi,1
9205,Dhruv Shorey,1998,Delhi,1
9208,Himalaya Barad,1998,Gujarat,1
9211,Mohan Akshaya,1998,Kerala,1
9212,Karaparambil Monish,1998,Kerala,1
9213,Nikhilesh Surendran,1998,Kerala,1
9214,Barinder Sran,1998,Punjab,1
9217,Vivek Singh,1998,Bengal,1
9218,Siddhesh Lad,1998,Mumbai,1
9236,Thalaivan Sargunam,1998,PUDUCHERRY,1
9237,Tambe,1998,Mumbai,1
9238,Bodavarapu Sudhakar,1998,Andhra,1
9241,Royston Dias,1998,Mumbai,1
9244,Lukman Meriwala,1998,Baroda,1
9245,V Solanki,1998,Baroda,1
9255,Akshay Kolhar,1998,Vidarbha,1
9257,Ravi Jangid,1998,Vidarbha,1
9260,Swapan Das,1998,Tripura,1
9261,Udiyan Bose,1998,Tripura,1
9263,Keshav Kumar,1998,BIHAR,1
9266,Arabind Singh,1998,Odisha,1
9268,S Pradhan,1998,Odisha,1
9269,Ankit Yadav,1998,Odisha,1
9270,Pranay Sharma,1998,Rajasthan,1
9271,Tanveer-Ul-Haq,1998,Rajasthan,1
9276,Naren Reddy,1998,Andhra,1
9278,Jyothi Sai Krishna,1998,Andhra,1
9279,Suraj Dongre,1998,Goa,1
9281,Chama V Milind,1998,Hyderabad,1
9283,Asif Rasool,1998,Jammu and Kashmir,1
9284,Ahmed Bandy,1998,Jammu and Kashmir,1
9289,Anand Bais,1998,Madhya Pradesh,1
9290,M Singh,1998,Chhattisgarh,1
9291,Jatin Saxena,1998,Chhattisgarh,1
9295,Nikhil Naik,1998,Maharashtra,1
9298,Ankush Bains,1998,Himachal Pradesh,1
9302,Soumik Chatterjee,1998,Services,1
9308,Rishav Kalapkanti Das,1998,Assam,1
9311,Jasprit Bumrah,1998,Gujarat,1
9423,Rishi Arothe,1998,Baroda,1
9425,R Bhui,1998,Andhra,1
9426,Aamir Gani,1998,Bengal,1
9427,Deepak Hooda,1998,Baroda,1
